Date,Country,Units,Revenue
10-03-2019,USA,288,4283.13
10-03-2019,Panama,195,1120.84
20-03-2019,Colombia,24,1562.82
07-03-2019,Colombia,255,2889.14
01-03-2019,Brazil,271,9143.03
13-03-2019,Panama,387,26050.58
03-03-2019,Brazil,19,146
07-03-2019,Brazil,154,2590.08
20-03-2019,Colombia,383,2371.61
15-03-2019,Colombia,147,7233.09
20-03-2019,Panama,336,3486.55
24-03-2019,Panama,110,6047.09
23-03-2019,Brazil,252,16694.51
29-03-2019,USA,16,559.39
30-03-2019,Panama,42,123.18
16-03-2019,Panama,88,2683.54
10-03-2019,Canada,165,163.76
07-03-2019,Brazil,316,600.76
16-03-2019,Panama,345,8772.07
24-03-2019,USA,20,742.42
25-03-2019,Panama,272,7094.11
31-03-2019,Canada,115,1087.99
31-03-2019,Canada,157,4641.51
31-03-2019,USA,330,17351.25
19-03-2019,Canada,126,1407.25
07-03-2019,Canada,274,16504.33
18-03-2019,Colombia,102,3602.03
04-03-2019,Colombia,155,2808.95
07-03-2019,Panama,134,9536.57
25-03-2019,Colombia,124,7510.11
29-03-2019,USA,274,4895.28
13-03-2019,Colombia,50,497.47
12-03-2019,Panama,26,2069
26-03-2019,Panama,291,733.37
22-03-2019,Panama,280,9067.76
08-03-2019,Canada,181,11100.36
02-03-2019,Canada,367,7066.63
22-03-2019,Colombia,44,100.8
05-03-2019,Colombia,82,1545.61
11-03-2019,Panama,280,15265.62
07-03-2019,Colombia,88,4578.49
16-03-2019,Canada,174,1461.8
10-03-2019,Panama,143,6195.71
29-03-2019,Colombia,192,1983.85
28-03-2019,Colombia,160,4244.59
10-03-2019,Brazil,363,28323.59
15-03-2019,Colombia,142,8341.92
22-03-2019,USA,390,4582.05
10-03-2019,Canada,77,72.22
02-03-2019,Brazil,169,5675.67
27-03-2019,Panama,71,2087.77
16-03-2019,Colombia,113,2729.93
25-03-2019,Brazil,266,7279.43
24-03-2019,Colombia,370,29222.28
25-03-2019,USA,172,9779.8
12-03-2019,Canada,35,826
07-03-2019,Brazil,241,15042.21
12-03-2019,Colombia,205,5806.75
17-03-2019,USA,277,14650.91
21-03-2019,Panama,48,14.42
30-03-2019,Brazil,176,9730.34
23-03-2019,Canada,394,738.25
02-03-2019,Canada,29,723.76
13-03-2019,Brazil,108,332.1
31-03-2019,Brazil,304,2152.72
10-03-2019,Panama,28,143.32
31-03-2019,Colombia,384,9508.81
23-03-2019,USA,330,17316.56
16-03-2019,USA,386,4188.41
10-03-2019,Brazil,234,5816.65
29-03-2019,USA,96,3326.34
06-03-2019,Brazil,105,9074.97
31-03-2019,USA,179,1421.94
15-03-2019,USA,392,2095.49
15-03-2019,Panama,40,902.96
11-03-2019,Brazil,313,6176.36
04-03-2019,Brazil,398,8658.56
18-03-2019,Canada,380,9738.06
26-03-2019,Panama,134,5881.76
15-03-2019,Panama,85,2482.66
16-03-2019,Colombia,373,8791.58
28-03-2019,USA,107,6588.96
23-03-2019,Brazil,222,13934.95
03-03-2019,Panama,142,4783.07
10-03-2019,USA,77,2458.76
07-03-2019,Panama,52,2368.05
04-03-2019,USA,328,6517.1
06-03-2019,USA,11,269.19
27-03-2019,Colombia,241,10766.53
23-03-2019,Canada,301,6769.89
09-03-2019,Brazil,245,2548.26
17-03-2019,Colombia,184,80.8
11-03-2019,Brazil,267,5543.72
26-03-2019,USA,158,6937.47
02-03-2019,Brazil,362,8260.7
06-03-2019,Canada,120,1895.72
16-03-2019,Colombia,50,2161.74
01-03-2019,USA,378,7383.58
08-03-2019,Colombia,95,2327.43
14-03-2019,Panama,377,25533.11
07-03-2019,Canada,339,7557.65
22-03-2019,USA,309,10056.43
28-03-2019,Panama,349,9456.26
04-03-2019,Canada,163,10693.76
10-03-2019,Brazil,347,12715.55
06-03-2019,Panama,150,1865.58
26-03-2019,Colombia,184,6028.28
19-03-2019,Panama,239,14974.13
02-03-2019,Panama,179,2374.68
23-03-2019,Colombia,136,7575.17
17-03-2019,USA,275,7359.43
09-03-2019,Panama,125,11257.09
25-03-2019,Colombia,154,2893.3
03-03-2019,Panama,282,17272.09
14-03-2019,Brazil,59,638.41
30-03-2019,Brazil,234,3269.98
23-03-2019,Panama,167,1445.71
20-03-2019,USA,260,3730.3
08-03-2019,Canada,138,6957.9
